name,food_type,address,neighborhood,price_range,rating,phone_number,website,delivery,notes,position
Blunch,Mexican,"716 Massachusetts Ave, Boston, MA",Fenway,$$$$,4.8,(617) 912-2308,https://blunch.com,Yes,Cozy atmosphere,"(-71.074652, 42.334637)"
Peregrine,Italian,"375 Harrison Ave, Boston, MA",Beacon Hill,$$$$,4.4,(617) 627-8037,https://peregrine.com,No,Cozy atmosphere,"(-71.064784, 42.344553)"
Craigie on Main,Asian Fusion,"46 Newbury St, Boston, MA",Back Bay,$$$$,4.4,(617) 858-4433,https://craigieonmain.com,No,Famous cocktails,"(-71.073114, 42.351883)"
Hojoko,Japanese,"284 Hanover St, Boston, MA",Downtown,$$$,4.7,(617) 253-6450,https://hojoko.com,Yes,Cozy atmosphere,"(-71.05454, 42.363979)"
Atlantic Fish Co.,Japanese,"741 Massachusetts Ave, Boston, MA",Seaport,$,4.9,(617) 909-5427,https://atlanticfishco..com,No,Great for groups,"(-71.065494, 42.32519)"
Shōjō,American,"501 Washington St, Boston, MA",Somerville,$$,4.6,(617) 593-4777,https://shōjō.com,No,Rooftop seating,"(-71.072131, 42.294159)"
Sportello,Asian Fusion,"927 Boylston St, Boston, MA",Beacon Hill,$$$$,4.8,(617) 587-7998,https://sportello.com,No,Vegan options available,"(-71.08505, 42.34824)"
Trade,Mexican,"696 Hanover St, Boston, MA",Cambridge,$$,4.8,(617) 486-6406,https://trade.com,No,Vegan options available,"(-71.039073, 42.374234)"
Mida,Bakery,"404 Newbury St, Boston, MA",Fenway,$$$$,4.7,(617) 374-8889,https://mida.com,Yes,Great for groups,"(-71.088922, 42.348104)"
Saus Boston,Mediterranean,"464 Harrison Ave, Boston, MA",Beacon Hill,$,4.5,(617) 346-4932,https://sausboston.com,No,Vegan options available,"(-71.06428, 42.34225)"
GreCo,Mexican,"459 Hanover St, Boston, MA",South End,$$$,4.4,(617) 897-8339,https://greco.com,No,Rooftop seating,"(-71.05252, 42.36651)"
Saus Boston,Asian Fusion,"868 Harrison Ave, Boston, MA",Downtown,$,4.4,(617) 822-5117,https://sausboston.com,No,Famous cocktails,"(-71.075807, 42.334406)"
Tres Gatos,Japanese,"110 Harrison Ave, Boston, MA",South End,$$$$,4.8,(617) 726-7588,https://tresgatos.com,Yes,Vegan options available,"(-71.061485, 42.350722)"
Scampo,Barbecue,"610 Massachusetts Ave, Boston, MA",Somerville,$,4.3,(617) 994-6085,https://scampo.com,No,Rooftop seating,"(-71.077606, 42.337101)"
Barking Crab,Seafood,"1 Cambridge St, Boston, MA",Downtown,$$$$,4.5,(617) 341-5591,https://barkingcrab.com,No,Great for groups,"(-71.059331, 42.359694)"
Nico Ristorante,Italian,"645 Massachusetts Ave, Boston, MA",Downtown,$$,4.9,(617) 214-9236,https://nicoristorante.com,Yes,Rooftop seating,"(-71.076675, 42.336157)"
Barcelona Brookline,Mexican,"809 Harrison Ave, Boston, MA",Seaport,$$$$,4.8,(617) 713-5677,https://barcelonabrookline.com,No,Vegan options available,"(-71.0742, 42.33586)"
Atlantic Beer Garden,French,"30 Harrison Ave, Boston, MA",Downtown,$$,4.8,(617) 324-7449,https://atlanticbeergarden.com,No,Famous cocktails,"(-71.06102, 42.35194)"
Tamarind Bay,Asian Fusion,"184 Harrison Ave, Boston, MA",North End,$,4.7,(617) 277-6957,https://tamarindbay.com,Yes,Rooftop seating,"(-71.062191, 42.348969)"
Trillium Brewing,Asian Fusion,"810 Washington St, Boston, MA",Back Bay,$$$,4.6,(617) 362-1005,https://trilliumbrewing.com,No,Vegan options available,"(-71.071555, 42.283874)"
Menton,Barbecue,"676 Boylston St, Boston, MA",North End,$,4.6,(617) 784-7894,https://menton.com,Yes,Cozy atmosphere,"(-71.100618, 42.313651)"
Stillwater,Barbecue,"108 Newbury St, Boston, MA",Beacon Hill,$,4.7,(617) 490-4116,https://stillwater.com,Yes,Great for groups,"(-71.075647, 42.351228)"
Darryl’s Corner Bar & Kitchen,Japanese,"386 Hanover St, Boston, MA",Downtown,$,4.4,(617) 715-6025,https://darryl’scornerbar&kitchen.com,Yes,Cozy atmosphere,"(-71.053006, 42.365432)"
Trillium Brewing,Mediterranean,"369 Hanover St, Boston, MA",Cambridge,$,4.6,(617) 706-7271,https://trilliumbrewing.com,Yes,Great for groups,"(-71.05319, 42.364839)"
Rebel Rebel,French,"432 Hanover St, Boston, MA",South End,$,4.6,(617) 617-4338,https://rebelrebel.com,Yes,Cozy atmosphere,"(-71.052895, 42.366765)"
Committee,Barbecue,"355 Boylston St, Boston, MA",Somerville,$$,4.5,(617) 502-7591,https://committee.com,No,Famous cocktails,"(-71.071574, 42.351936)"
Teranga,French,"275 Harrison Ave, Boston, MA",Somerville,$$,4.9,(617) 470-4252,https://teranga.com,Yes,Rooftop seating,"(-71.062799, 42.347475)"
Bistro du Midi,Barbecue,"966 Harrison Ave, Boston, MA",Cambridge,$$$,4.8,(617) 669-8008,https://bistrodumidi.com,No,Cozy atmosphere,"(-71.078204, 42.332831)"
Temazcal Tequila Cantina,Barbecue,"558 Washington St, Boston, MA",Somerville,$$,4.6,(617) 447-6955,https://temazcaltequilacantina.com,No,Great for groups,"(-71.061979, 42.353385)"
Grill 23 & Bar,Seafood,"828 Massachusetts Ave, Boston, MA",Back Bay,$$$$,4.6,(617) 735-9096,https://grill23&bar.com,No,Vegan options available,"(-71.064966, 42.324567)"
Trillium Brewing,Mexican,"790 Washington St, Boston, MA",Beacon Hill,$,4.5,(617) 724-4836,https://trilliumbrewing.com,Yes,Great for groups,"(-71.071283, 42.28397)"
Legal Sea Foods,Seafood,"31 Cambridge St, Boston, MA",North End,$$$,4.9,(617) 437-7585,https://legalseafoods.com,Yes,Cozy atmosphere,"(-71.059302, 42.359223)"
